Action,Date,Ad Title/Id,Page/App
Impression,2025/08/28,695126224,foxnews.com
Impression,2025/08/28,708994853,nypost.com
Impression,2025/08/28,713031524,nypost.com
Impression,2025/08/28,729964074,espn.com
Impression,2025/08/28,751976596,nypost.com
Impression,2025/08/28,768100473,FuboTV
Impression,2025/08/28,784427396,foxnews.com
Impression,2025/08/28,797284176,espn.com
Impression,2025/08/28,797358886,foxnews.com
Impression,2025/08/28,798784476,nypost.com
Impression,2025/08/28,809455726,foxnews.com
Impression,2025/08/28,838533256,foxnews.com
Impression,2025/08/29,676272504,espn.com
Impression,2025/08/29,719578953,espn.com
Impression,2025/08/29,727044526,Samsung TV Plus FREE
Impression,2025/08/29,729976134,Samsung TV Plus FREE
Impression,2025/08/29,733383604,news.com.au
Impression,2025/08/29,749637106,espn.com
Impression,2025/08/29,751976786,aljazeera.com
Impression,2025/08/29,760268443,news.com.au
Impression,2025/08/29,802487216,Samsung TV Plus FREE
Impression,2025/08/29,802540736,Samsung TV Plus FREE
Impression,2025/08/29,835597666,ndtv.com
Impression,2025/08/29,835597666,news.com.au
Impression,2025/08/29,838533256,aljazeera.com
Impression,2025/08/29,838533256,collider.com
Impression,2025/08/29,838533256,espn.com
Impression,2025/08/29,838533256,ndtv.com
Impression,2025/08/30,838521226,yahoo.com
Impression,2025/08/30,838533256,yahoo.com
Impression,2025/08/31,709316986,mashable.com
Impression,2025/08/31,719790793,mashable.com
Impression,2025/08/31,838533256,yahoo.com
Impression,2025/09/01,714907704,The Roku Channel
Impression,2025/09/01,729676214,WatchFree+
Impression,2025/09/01,729685544,WatchFree+
Impression,2025/09/01,837523456,usmagazine.com
Impression,2025/09/02,742951064,msn.com
Impression,2025/09/03,721500414,espn.com
Impression,2025/09/03,831176766,Samsung TV Plus FREE
Impression,2025/09/04,711530023,gimmesomeoven.com
Impression,2025/09/04,755704636,techcrunch.com
Impression,2025/09/04,813499783,gimmesomeoven.com
Impression,2025/09/04,842822216,gimmesomeoven.com
Impression,2025/09/06,714860154,dinneratthezoo.com
Impression,2025/09/06,768100473,OneFOX
Impression,2025/09/07,661946653,Samsung TV Plus FREE
Impression,2025/09/09,679531033,nypost.com
Impression,2025/09/09,702708824,espn.com
Impression,2025/09/09,733383604,nypost.com
Impression,2025/09/09,733624644,espn.com
Impression,2025/09/09,747347064,newsweek.com
Impression,2025/09/09,747765874,pcgamer.com
Impression,2025/09/09,760268423,pcgamer.com
Impression,2025/09/09,768019673,Samsung TV Plus FREE
Impression,2025/09/09,768100473,Samsung TV Plus FREE
Impression,2025/09/09,783993386,Sudoku.com
Impression,2025/09/09,794315646,Samsung TV Plus FREE
Impression,2025/09/09,794315646,g15147002586
Impression,2025/09/09,815209763,Samsung TV Plus FREE
Impression,2025/09/09,815319963,Samsung TV Plus FREE
Impression,2025/09/09,815339903,Samsung TV Plus FREE
Impression,2025/09/09,835597666,pcgamer.com
Impression,2025/09/09,858420966,nypost.com
Impression,2025/09/09,858480396,pcgamer.com
Impression,2025/09/09,858580106,espn.com
Impression,2025/09/09,858609966,espn.com
Impression,2025/09/09,858610216,pcgamer.com
Impression,2025/09/09,861755366,dictionary.com
Impression,2025/09/10,749637106,awfulannouncing.com
Impression,2025/09/10,752011916,reuters.com
Impression,2025/09/11,701252913,Tubi - Free Movies & TV
Impression,2025/09/11,733815404,ca.finance.yahoo.com
Impression,2025/09/11,742661104,wsj.com
Impression,2025/09/11,747763884,livescience.com
Impression,2025/09/11,749618296,nypost.com
Impression,2025/09/11,751976786,nypost.com
Impression,2025/09/11,752004276,wsj.com
Impression,2025/09/11,770905063,livescience.com
Impression,2025/09/11,797237236,nypost.com
Impression,2025/09/12,721470914,awfulannouncing.com
Impression,2025/09/12,797196456,dailymail.co.uk
Impression,2025/09/13,695126224,eatthis.com
Impression,2025/09/13,715814286,msn.com
Impression,2025/09/13,733430374,eatthis.com
Impression,2025/09/14,648442916,reuters.com
Impression,2025/09/14,750958884,detroitnews.com
Impression,2025/09/14,768089433,Tubi - Free Movies & TV
Impression,2025/09/14,813499783,eatthis.com
Impression,2025/09/14,856828246,detroitnews.com
Impression,2025/09/14,856828246,espn.com
Impression,2025/09/14,856836636,detroitnews.com
Impression,2025/09/14,856836636,espn.com
Impression,2025/09/15,758791424,nypost.com
Impression,2025/09/15,776042633,nypost.com
Impression,2025/09/15,776105433,nypost.com
Impression,2025/09/15,797405656,screenrant.com
Impression,2025/09/15,836538793,cbssports.com
Impression,2025/09/15,856809616,cbssports.com
Impression,2025/09/15,871029156,nypost.com
Impression,2025/09/16,750468294,ca.news.yahoo.com
Impression,2025/09/16,797420866,bleacherreport.com
Impression,2025/09/16,813499783,bleacherreport.com
Impression,2025/09/16,853475326,bleacherreport.com
Impression,2025/09/16,864326066,bleacherreport.com
Impression,2025/09/17,742651334,oilprice.com
Impression,2025/09/17,750468284,nypost.com
Impression,2025/09/17,750468294,oilprice.com
Impression,2025/09/17,760268443,nypost.com
Impression,2025/09/17,856884236,oilprice.com
Impression,2025/09/17,858530276,nypost.com
Impression,2025/09/17,858580226,telegraph.co.uk
Impression,2025/09/18,745407213,mail.yahoo.com
Impression,2025/09/18,768089433,Samsung TV Plus FREE
Impression,2025/09/18,768110123,Samsung TV Plus FREE
Impression,2025/09/18,815339903,Tubi - Free Movies & TV
Impression,2025/09/18,856701736,Samsung TV Plus FREE
Impression,2025/09/19,768110123,Tubi - Free Movies & TV
Impression,2025/09/19,815280293,Tubi - Free Movies & TV
Impression,2025/09/19,815319953,Tubi - Free Movies & TV
Impression,2025/09/19,838264896,Tubi - Free Movies & TV
Impression,2025/09/20,559220546,reuters.com
Impression,2025/09/20,630772584,reuters.com
Impression,2025/09/20,800756546,reuters.com
Impression,2025/09/20,800809936,reuters.com
Impression,2025/09/20,874042746,awfulannouncing.com
Impression,2025/09/21,858550176,cbssports.com
Impression,2025/09/22,694323954,Samsung TV Plus FREE
Impression,2025/09/22,729685544,Samsung TV Plus FREE
Impression,2025/09/22,733430374,techcrunch.com
Impression,2025/09/22,820449953,Samsung TV Plus FREE
Impression,2025/09/22,856828246,nypost.com
Impression,2025/09/22,858480436,techcrunch.com
Impression,2025/09/22,873974446,nypost.com
Impression,2025/09/22,879878906,marthastewart.com
Impression,2025/09/22,879926106,marthastewart.com
Impression,2025/09/22,879955756,marthastewart.com
Impression,2025/09/23,848670903,Samsung TV Plus FREE
Impression,2025/09/23,856836636,awfulannouncing.com
Impression,2025/09/23,856874886,accuweather.com
Impression,2025/09/23,858430836,awfulannouncing.com
Impression,2025/09/23,864339966,awfulannouncing.com
Impression,2025/09/24,558166306,AP news
Impression,2025/09/24,559220546,AP news
Impression,2025/09/24,732605496,nypost.com
Impression,2025/09/24,733430374,AP news
Impression,2025/09/24,771722424,yahoo.com
Impression,2025/09/24,862139126,AP news
Impression,2025/09/24,864257606,nypost.com
Impression,2025/09/24,881578566,AP news
Impression,2025/09/24,885228486,yahoo.com
Impression,2025/09/25,709316996,tomshardware.com
Impression,2025/09/25,870897986,Philo
Impression,2025/09/26,679482503,thesaurus.com
Impression,2025/09/26,686075554,thesaurus.com
Impression,2025/09/26,702708784,thesaurus.com
Impression,2025/09/26,721449564,thesaurus.com
Impression,2025/09/26,747793234,AP news
Impression,2025/09/26,750468284,espn.com
Impression,2025/09/26,750468284,latimes.com
Impression,2025/09/26,771259104,thesaurus.com
Impression,2025/09/26,815280293,Samsung TV Plus FREE
Impression,2025/09/26,815319963,Samsung TV Plus FREE
Impression,2025/09/26,815339903,Samsung TV Plus FREE
Impression,2025/09/26,815339903,g15147002586
Impression,2025/09/26,848621213,Samsung TV Plus FREE
Impression,2025/09/26,848790943,Samsung TV Plus FREE
Impression,2025/09/26,858411106,thesaurus.com
Impression,2025/09/26,858530276,espn.com
Impression,2025/09/26,870827206,thesaurus.com
Impression,2025/09/26,877747156,AP news
Impression,2025/09/27,767108094,espn.com
Impression,2025/09/27,870948086,g15147002586
Impression,2025/09/28,729964074,espn.com
Impression,2025/09/29,635650034,celebritynetworth.com
Impression,2025/09/29,722548303,celebritynetworth.com
Impression,2025/09/29,737323204,huffpost.com
Impression,2025/09/29,750468284,espn.com
Impression,2025/09/29,750468294,espn.com
Impression,2025/09/29,767108094,celebritynetworth.com
Impression,2025/09/29,771917584,yahoo.com
Impression,2025/09/29,797207166,espn.com
Impression,2025/09/29,797208126,espn.com
Impression,2025/09/29,797237846,espn.com
Impression,2025/09/29,797237856,espn.com
Impression,2025/09/29,856846636,espn.com
Impression,2025/09/29,856846656,espn.com
Impression,2025/09/29,873974446,espn.com
Impression,2025/09/29,874042746,espn.com
Impression,2025/09/29,875676546,celebritynetworth.com
Impression,2025/09/30,848670903,Samsung TV Plus FREE
Impression,2025/10/01,558166306,theguardian.com
Impression,2025/10/01,559220546,allrecipes.com
Impression,2025/10/01,733430374,webmd.com
Impression,2025/10/01,851946753,forbes.com
Impression,2025/10/01,856893706,forbes.com
Impression,2025/10/01,858550176,forbes.com
Impression,2025/10/01,879879256,TuneIn Radio: Music & Sports
Impression,2025/10/02,713879273,ca.news.yahoo.com
Impression,2025/10/02,771748674,ca.news.yahoo.com
Impression,2025/10/02,797407966,techcrunch.com
Impression,2025/10/02,826299164,techcrunch.com
Impression,2025/10/02,839252814,espn.com
Impression,2025/10/02,858580206,techcrunch.com
Impression,2025/10/02,858649836,espn.com
Impression,2025/10/02,860834093,ca.news.yahoo.com
Impression,2025/10/02,862178086,techcrunch.com
Impression,2025/10/02,862178236,techcrunch.com
Impression,2025/10/02,889339106,techcrunch.com
Impression,2025/10/03,663447293,Samsung TV Plus FREE
Impression,2025/10/03,694323954,Samsung TV Plus FREE
Impression,2025/10/03,733792474,Samsung TV Plus FREE
Impression,2025/10/03,733822014,Samsung TV Plus FREE
Impression,2025/10/03,767154534,Samsung TV Plus FREE
Impression,2025/10/03,767174574,Samsung TV Plus FREE
Impression,2025/10/03,820392143,Samsung TV Plus FREE
Impression,2025/10/03,826924004,yahoo.com
Impression,2025/10/03,832614096,Samsung TV Plus FREE
Impression,2025/10/03,832642966,Samsung TV Plus FREE
Impression,2025/10/03,838138806,Samsung TV Plus FREE
Impression,2025/10/03,848621213,Samsung TV Plus FREE
Impression,2025/10/03,848790943,Samsung TV Plus FREE
Impression,2025/10/03,858324676,Samsung TV Plus FREE
Impression,2025/10/03,858480396,mail.yahoo.com
Impression,2025/10/04,544966333,TuneIn Radio: Music & Sports
Impression,2025/10/04,630772584,thelist.com
Impression,2025/10/04,648442916,thelist.com
Impression,2025/10/04,755697256,thelist.com
Impression,2025/10/04,768019673,Samsung TV Plus FREE
Impression,2025/10/04,848621213,Samsung TV Plus FREE
Impression,2025/10/04,858480396,thelist.com
Impression,2025/10/04,858480436,thelist.com
Impression,2025/10/04,858589946,thelist.com
Impression,2025/10/04,890148266,thelist.com
Impression,2025/10/06,756888323,Samsung TV Plus FREE
Impression,2025/10/07,544306283,Samsung TV Plus FREE
Impression,2025/10/07,750313144,Samsung TV Plus FREE
Impression,2025/10/07,754721686,Samsung TV Plus FREE
Impression,2025/10/07,820319653,Samsung TV Plus FREE
Impression,2025/10/07,836603403,jpost.com
Impression,2025/10/07,852141303,Samsung TV Plus FREE
Impression,2025/10/07,873914946,thehill.com
Impression,2025/10/07,874071996,sfgate.com
Impression,2025/10/08,854226303,telegraph.co.uk
Impression,2025/10/09,826923054,msn.com
Impression,2025/10/09,826924004,msn.com
Impression,2025/10/09,849319464,msn.com
Impression,2025/10/09,879879256,msn.com
Impression,2025/10/10,733815384,moneywise.com
Impression,2025/10/10,733815394,moneywise.com
Impression,2025/10/10,742671114,moneywise.com
Impression,2025/10/10,856874886,Fortune
Impression,2025/10/10,867154383,moneywise.com
Impression,2025/10/11,750651614,Sovrn_Display_xAPI
Impression,2025/10/11,848670903,Samsung TV Plus FREE
Impression,2025/10/11,858460456,cbsnews.com
Impression,2025/10/11,908151726,Samsung TV Plus FREE
Impression,2025/10/12,630772584,moneywise.com
Impression,2025/10/12,776577854,freep.com
Impression,2025/10/12,856864976,variety.com
Impression,2025/10/12,858540286,variety.com
Impression,2025/10/13,648398616,cbssports.com
Impression,2025/10/13,826892684,telegraph.co.uk
Impression,2025/10/13,839252814,cbssports.com
Impression,2025/10/13,849319464,tastesbetterfromscratch.com
Impression,2025/10/13,858530276,telegraph.co.uk
Impression,2025/10/13,892735466,Samsung TV Plus FREE
Impression,2025/10/14,544929443,techcrunch.com
Impression,2025/10/14,776577854,freep.com
Impression,2025/10/14,856874886,usatoday.com
Impression,2025/10/14,856884186,freep.com
Impression,2025/10/14,858480396,usatoday.com
Impression,2025/10/14,879879256,suggest.com
Impression,2025/10/14,889339106,suggest.com
Impression,2025/10/14,889339106,techcrunch.com
Impression,2025/10/14,891397086,techcrunch.com
Impression,2025/10/15,721910804,yahoo.com
Impression,2025/10/15,752004306,Stampen
Impression,2025/10/15,776577854,independent.co.uk
Impression,2025/10/15,826923054,Stampen
Impression,2025/10/15,854226303,Stampen
Impression,2025/10/15,854325633,Stampen
Impression,2025/10/15,854405123,yahoo.com
Impression,2025/10/15,855978674,yahoo.com
Impression,2025/10/15,856100954,yahoo.com
