ALERT_PARAMETERS,QUERY_CONTEXT,SAVED_SEARCH_ID
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Vice President of Investment, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102245733, radiusInKms=40.2335}]}}, facets={}}",15636776556
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=vice president commerce, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102277331, radiusInKms=40.2335}]}}, facets={}}",8160178362
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=General Manager, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102277331, radiusInKms=40.2335}]}}, facets={}}",8083682698
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Vice President, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102250832, radiusInKms=40.2335}]}}, facets={}}",7974021578
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION], frequency=DAILY}","{keywords=founder, workflowContext={savedSearch=urn:li:savedSearch:627189466}, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:90000056}]}}, facets={organizations={selectedValues=[urn:li:organization:27218434, urn:li:organization:4291982, urn:li:organization:2553342, urn:li:organization:18725646, urn:li:organization:11762479, urn:li:organization:9388421, urn:li:organization:10240107, urn:li:organization:18268326, urn:li:organization:3328409, urn:li:organization:9218706, urn:li:organization:18276284, urn:li:organization:22329134, urn:li:organization:28617091, urn:li:organization:3946, urn:li:organization:3541030, urn:li:organization:4318826, urn:li:organization:11548415, urn:li:organization:5362617, urn:li:organization:11331212, urn:li:organization:15221644, urn:li:organization:3331707, urn:li:organization:92099]}}}",627189466
