Ad clicked Date,Ad Title/Id
2025/09/02 07:05:26 UTC,711631223
2024/02/19 02:11:02 UTC,178929944
2025/09/04 07:43:56 UTC,734161954
2024/02/19 02:11:04 UTC,178929944
2025/09/11 04:16:05 UTC,744072746
2024/02/19 03:29:18 UTC,178929944
2025/09/11 04:16:18 UTC,744072746
2024/02/19 03:30:01 UTC,350284394
2025/09/10 00:40:58 UTC,771013353
2024/03/15 00:32:31 UTC,257759853
2025/09/10 00:40:58 UTC,771013353
2024/03/16 06:38:38 UTC,305610234
2025/09/10 00:40:58 UTC,771013353
2024/03/16 06:38:38 UTC,305610234
2025/09/10 00:40:58 UTC,771013353
2024/03/20 17:51:33 UTC,366576186
2025/09/10 00:40:58 UTC,771013353
2024/03/20 17:51:36 UTC,366576186
2025/09/10 00:40:59 UTC,771013353
2024/03/20 17:58:06 UTC,328228996
2025/09/10 00:41:00 UTC,771013353
2024/03/31 17:21:03 UTC,314253153
2025/09/10 00:41:33 UTC,771013353
2024/04/11 04:03:54 UTC,145111864
2025/09/11 20:18:56 UTC,771013353
2024/04/21 22:29:07 UTC,397751126
2025/09/12 07:51:22 UTC,771013353
2024/04/22 22:52:29 UTC,397751126
2025/09/12 07:51:24 UTC,771013353
2024/04/22 22:53:29 UTC,397751126
2025/09/11 20:11:38 UTC,771013353
2024/04/22 22:54:05 UTC,397751126
2025/09/11 20:11:40 UTC,771013353
2024/04/22 22:56:07 UTC,397751126
2025/09/11 20:18:56 UTC,771013353
2024/04/22 19:34:31 UTC,397751126
2025/09/13 22:47:59 UTC,771013353
2024/04/21 02:15:24 UTC,397751126
2025/09/13 22:48:01 UTC,771013353
2024/04/30 21:04:50 UTC,198977066
2025/09/13 22:48:21 UTC,771013353
2024/05/02 14:58:06 UTC,198977066
2025/09/13 22:48:21 UTC,771013353
2024/04/30 17:05:17 UTC,198977066
2025/09/20 06:13:26 UTC,198977066
2024/04/30 17:05:17 UTC,198977066
2025/09/20 06:13:28 UTC,198977066
2024/05/02 15:03:21 UTC,198977066
2025/09/20 06:19:06 UTC,198977066
2024/05/02 15:03:33 UTC,198977066
2025/09/20 06:19:08 UTC,198977066
2024/05/02 15:04:13 UTC,198977066
2025/09/24 04:33:11 UTC,797602336
2024/05/02 15:04:30 UTC,198977066
2025/09/22 23:26:06 UTC,870848196
2024/05/02 15:06:08 UTC,198977066
2025/09/30 01:04:29 UTC,575403284
2024/05/02 15:06:29 UTC,198977066
2025/09/30 01:04:40 UTC,575403284
2024/05/02 15:06:47 UTC,198977066
2025/10/01 08:10:17 UTC,873719396
2024/05/28 22:39:57 UTC,411746674
2025/10/07 08:57:13 UTC,754740796
2024/05/28 22:39:57 UTC,411746674
2025/10/09 23:34:47 UTC,651247206
